NUMBER;TRADEDATE;OPEN;LOW;HIGH;CLOSE;VALUE
0;2023-08-01;5940.5;5883.0;6049.0;6008.0;8019253542.5
1;2023-08-02;6008.0;5960.0;6123.0;6069.5;7986643495.5
2;2023-08-03;6066.0;6040.0;6168.0;6155.0;6117297819.5
3;2023-08-04;6170.0;5951.5;6270.0;6103.0;17457885116.5
4;2023-08-07;6177.0;5975.0;6210.0;6048.5;8623913811.0
5;2023-08-08;6040.0;5925.0;6135.0;6124.5;9358005945.0
6;2023-08-09;6130.0;6073.0;6185.0;6171.5;5782564052.5
7;2023-08-10;6185.0;6155.0;6258.0;6252.0;6349833883.5
8;2023-08-11;6265.0;6205.0;6287.0;6284.5;4930413401.5
9;2023-08-14;6322.0;6011.5;6428.0;6127.5;19004042624.5
10;2023-08-15;6089.5;6008.0;6290.0;6131.5;14110258518.5
11;2023-08-16;6156.5;5990.5;6198.0;6094.5;12107406770.0
12;2023-08-17;6160.0;6062.0;6167.0;6162.0;5517545139.0
13;2023-08-18;6167.0;6122.5;6285.0;6277.5;5699273253.5
14;2023-08-21;6295.0;6237.0;6338.0;6265.5;7489249639.0
15;2023-08-22;6265.5;6216.5;6677.0;6606.5;34763622728.0
16;2023-08-23;6632.0;6364.0;6654.0;6412.5;19178937933.5
17;2023-08-24;6497.5;6432.0;6571.5;6561.5;8050637122.5
18;2023-08-25;6562.5;6513.5;6592.5;6566.0;5012840120.5
19;2023-08-28;6570.5;6560.0;6665.0;6662.0;6044555485.0
20;2023-08-29;6673.5;6636.0;6780.0;6779.5;13005805291.5
21;2023-08-30;6789.0;6760.0;6900.0;6837.0;14808316303.0
22;2023-08-31;6858.5;6788.0;6875.0;6830.0;5613714283.5
23;2023-09-01;6839.0;6784.0;6848.0;6819.0;4826501395.5
24;2023-09-04;6844.0;6825.0;6870.0;6850.0;4511135560.0
25;2023-09-05;6860.0;6847.0;6940.0;6916.0;8247482246.0
26;2023-09-06;6915.0;6832.5;6916.0;6867.5;5300634718.5
27;2023-09-07;6855.5;6571.5;6880.0;6666.5;15293150277.0
28;2023-09-08;6660.0;6533.0;6724.0;6625.0;8784859683.5
29;2023-09-11;6625.0;6435.0;6625.0;6456.0;8506116922.0
30;2023-09-12;6500.0;6480.0;6730.0;6729.0;10200209140.5
31;2023-09-13;6738.0;6576.0;6739.0;6610.0;7484237944.0
32;2023-09-14;6603.0;6346.0;6633.0;6519.0;13452699372.0
33;2023-09-15;6520.0;6501.0;6609.0;6553.0;8010328261.5
34;2023-09-18;6600.0;6476.0;6655.0;6526.0;6032646905.0
35;2023-09-19;6525.5;6326.5;6560.0;6344.0;9841699462.0
36;2023-09-20;6350.0;6280.0;6499.0;6423.0;11983960679.0
37;2023-09-21;6400.0;6350.0;6428.0;6379.0;9343044898.5
38;2023-09-22;6397.0;6305.0;6517.0;6495.0;7180645807.5
39;2023-09-25;6500.0;6426.0;6525.0;6449.0;4461752401.0
40;2023-09-26;6430.0;6322.0;6438.0;6386.0;5995033305.5
41;2023-09-27;6412.0;6404.5;6500.0;6490.0;4718821532.0
42;2023-09-28;6502.0;6501.5;6645.5;6645.5;6499171205.5
43;2023-09-29;6650.0;6603.5;6700.0;6677.0;6383255566.5
44;2023-10-02;6716.5;6658.5;6797.5;6720.0;7477418536.5
45;2023-10-03;6720.0;6636.5;6784.0;6754.5;6402644543.0
46;2023-10-04;6740.0;6659.5;6815.0;6660.5;6119352880.5
47;2023-10-05;6706.0;6645.0;6759.5;6721.5;4974584504.5
